model,json_file,section,BERTScore_F1,BERTScore_P,BERTScore_R,F,R,A,C,U
RLHFlow/LLaMA3-SFT,x2i9tanz.json,model_details,-0.1746908575296402,-0.11543715000152588,-0.23622845113277435,3,4,4,3,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,intended_use,-0.24285253882408142,0.03127353638410568,-0.49190467596054077,3,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,generative_capabilities,-0.2352849841117859,-0.055640120059251785,-0.40589162707328796,4,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,safety_considerations,-0.2686305344104767,-0.04472590237855911,-0.47668108344078064,3,3,3,3,3
RLHFlow/LLaMA3-SFT,x2i9tanz.json,training_data,-0.2084248960018158,-0.04763796553015709,-0.36263856291770935,4,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,performance_metrics,-0.2592032253742218,-0.11689034849405289,-0.3972002863883972,4,4,4,4,4
RLHFlow/LLaMA3-SFT,x2i9tanz.json,ethical_considerations,-0.7096585035324097,-0.6512147784233093,-0.7719340920448303,2,2,2,2,2
RLHFlow/LLaMA3-SFT,x2i9tanz.json,caveats_recommendations,-0.23163115978240967,0.0053168474696576595,-0.45051607489585876,4,4,4,4,4
RLHFlow/LLaMA3-SFT,r2muljav.json,model_details,-0.2835795283317566,-0.23066557943820953,-0.33939358592033386,5,5,4,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,intended_use,-0.6722201108932495,-0.5551499724388123,-0.7883405089378357,1,1,1,1,1
RLHFlow/LLaMA3-SFT,r2muljav.json,generative_capabilities,-0.2522766590118408,-0.13159923255443573,-0.370903342962265,5,5,5,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,safety_considerations,-0.6864773035049438,-0.5959637761116028,-0.7785448431968689,1,1,1,1,1
RLHFlow/LLaMA3-SFT,r2muljav.json,training_data,-0.21966639161109924,-0.03339921310544014,-0.3959590494632721,5,5,5,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,performance_metrics,-0.23414038121700287,-0.0938340499997139,-0.3703204095363617,5,5,5,5,5
RLHFlow/LLaMA3-SFT,r2muljav.json,ethical_considerations,-0.7096585035324097,-0.6512147784233093,-0.7719340920448303,1,1,1,1,1
RLHFlow/LLaMA3-SFT,r2muljav.json,caveats_recommendations,-0.6568120121955872,-0.5090352892875671,-0.8000689744949341,1,1,1,1,1
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,model_details,-0.031158067286014557,0.17808079719543457,-0.2270217090845108,5,5,5,5,5
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,intended_use,-0.3377612829208374,-0.036702875047922134,-0.6077883243560791,5,5,4,5,5
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,generative_capabilities,-0.3237591087818146,-0.0447159968316555,-0.576502799987793,4,5,3,4,4
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,safety_considerations,-0.6864773035049438,-0.5959637761116028,-0.7785448431968689,1,2,1,2,1
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,training_data,-0.22332726418972015,0.0986001119017601,-0.5100373029708862,4,5,3,4,4
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,performance_metrics,-0.21414223313331604,0.05670030787587166,-0.46063438057899475,5,5,5,5,5
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,ethical_considerations,-0.7096585035324097,-0.6512147784233093,-0.7719340920448303,1,1,1,1,1
RLHFlow/LLaMA3-SFT,b3k3qmvi.json,caveats_recommendations,-0.30136439204216003,0.07108338922262192,-0.625862181186676,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,model_details,-0.09886345267295837,0.23520205914974213,-0.3955027461051941,3,5,3,3,3
RLHFlow/LLaMA3-SFT,fiit2018.json,intended_use,-0.0794346034526825,0.3372381329536438,-0.4380515515804291,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,generative_capabilities,-0.285443514585495,-0.08546540886163712,-0.4734186828136444,4,5,3,4,4
RLHFlow/LLaMA3-SFT,fiit2018.json,safety_considerations,-0.2505122721195221,-0.0320952944457531,-0.45400628447532654,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,training_data,-0.17686986923217773,0.12548008561134338,-0.4485093951225281,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,performance_metrics,-0.3166404366493225,-0.09842465072870255,-0.5199146866798401,5,5,5,5,5
RLHFlow/LLaMA3-SFT,fiit2018.json,ethical_considerations,-0.7096585035324097,-0.6512147784233093,-0.7719340920448303,1,1,1,1,1
RLHFlow/LLaMA3-SFT,fiit2018.json,caveats_recommendations,-0.2837483286857605,-0.14379367232322693,-0.419686883687973,5,5,5,5,5
RLHFlow/LLaMA3-SFT,u9n79gil.json,model_details,-0.3809865415096283,-0.15297628939151764,-0.5923128724098206,3,3,3,2,3
RLHFlow/LLaMA3-SFT,u9n79gil.json,intended_use,-0.6722201108932495,-0.5551499724388123,-0.7883405089378357,1,1,1,1,1
RLHFlow/LLaMA3-SFT,u9n79gil.json,generative_capabilities,-0.6864773035049438,-0.5959637761116028,-0.7785448431968689,1,1,1,1,1
RLHFlow/LLaMA3-SFT,u9n79gil.json,safety_considerations,-0.6864773035049438,-0.5959637761116028,-0.7785448431968689,2,2,2,2,2
RLHFlow/LLaMA3-SFT,u9n79gil.json,training_data,-0.32696089148521423,-0.12254785746335983,-0.5186681747436523,4,4,4,4,4
RLHFlow/LLaMA3-SFT,u9n79gil.json,performance_metrics,-0.33955109119415283,-0.017273563891649246,-0.6259930729866028,2,2,2,2,2
RLHFlow/LLaMA3-SFT,u9n79gil.json,ethical_considerations,-0.7096585035324097,-0.6512147784233093,-0.7719340920448303,1,1,1,1,1
RLHFlow/LLaMA3-SFT,u9n79gil.json,caveats_recommendations,-0.6568120121955872,-0.5090352892875671,-0.8000689744949341,1,1,1,1,1
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,model_details,-0.11209996789693832,0.23365511000156403,-0.41764411330223083,5,5,5,5,5
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,intended_use,-0.03076287917792797,0.44528618454933167,-0.4322083592414856,4,5,4,5,4
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,generative_capabilities,-0.26659879088401794,0.025282088667154312,-0.5296852588653564,3,5,3,4,3
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,safety_considerations,-0.6864773035049438,-0.5959637761116028,-0.7785448431968689,1,5,1,5,1
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,training_data,-0.17705915868282318,0.16816698014736176,-0.48186418414115906,5,5,5,5,5
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,performance_metrics,-0.34287187457084656,-0.049485594034194946,-0.6068753600120544,3,5,3,3,3
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,ethical_considerations,-0.7096585035324097,-0.6512147784233093,-0.7719340920448303,1,5,1,5,1
RLHFlow/LLaMA3-SFT,0mvzmuf8.json,caveats_recommendations,-0.12243913114070892,0.2503853142261505,-0.4483930170536041,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,model_details,-0.17367340624332428,-0.11384668946266174,-0.23575268685817719,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,intended_use,-0.2908574938774109,-0.04929386451840401,-0.5134478807449341,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,generative_capabilities,-0.24149779975414276,-0.06202458217740059,-0.4119601249694824,5,5,4,4,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,safety_considerations,-0.31346338987350464,-0.12858033180236816,-0.4885941445827484,4,5,4,4,4
RLHFlow/LLaMA3-SFT,438tgbcv.json,training_data,-0.22274066507816315,-0.048253133893013,-0.38888809084892273,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,performance_metrics,-0.2794482409954071,-0.14156858623027802,-0.4135366678237915,5,5,5,5,5
RLHFlow/LLaMA3-SFT,438tgbcv.json,ethical_considerations,-0.4086444079875946,-0.12215059250593185,-0.6669992804527283,3,5,3,4,3
RLHFlow/LLaMA3-SFT,438tgbcv.json,caveats_recommendations,-0.23395921289920807,0.0010711520444601774,-0.4512596130371094,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,model_details,-0.753673791885376,-0.6611144542694092,-0.8477619886398315,3,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,intended_use,-0.6852952837944031,-0.5057064890861511,-0.8559309244155884,3,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,generative_capabilities,-0.3924688994884491,-0.16490399837493896,-0.6034127473831177,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,safety_considerations,-0.46378570795059204,-0.3087475299835205,-0.6132102012634277,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,training_data,-0.4707871377468109,-0.2756175398826599,-0.6546503901481628,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,performance_metrics,-0.37188342213630676,-0.1343931406736374,-0.5910118818283081,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,ethical_considerations,-0.7357896566390991,-0.6248682737350464,-0.8464977741241455,3,3,3,3,3
TheBloke/CodeLlama-7B-GGUF,arlw3mg2.json,caveats_recommendations,-0.46126589179039,-0.18778519332408905,-0.7091752290725708,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,model_details,-0.753673791885376,-0.6611144542694092,-0.8477619886398315,1,1,1,1,1
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,intended_use,-0.4511255621910095,-0.1620234102010727,-0.7113733291625977,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,generative_capabilities,-0.4325774908065796,-0.23213081061840057,-0.6209019422531128,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,safety_considerations,-0.42863762378692627,-0.23753397166728973,-0.609070897102356,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,training_data,-0.4680942893028259,-0.2756285071372986,-0.6496742367744446,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,performance_metrics,-0.4318326711654663,-0.1321447193622589,-0.7004138827323914,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,ethical_considerations,-0.7357896566390991,-0.6248682737350464,-0.8464977741241455,1,1,1,1,1
TheBloke/CodeLlama-7B-GGUF,5cfzfdsn.json,caveats_recommendations,-0.6663526892662048,-0.450675904750824,-0.8671453595161438,1,1,1,1,1
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,model_details,-0.4360215365886688,-0.24480316042900085,-0.6165514588356018,5,5,4,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,intended_use,-0.516048014163971,-0.1972677856683731,-0.7989310622215271,4,5,4,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,generative_capabilities,-0.4805534780025482,-0.2589743435382843,-0.6864495277404785,4,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,safety_considerations,-0.49683037400245667,-0.23354651033878326,-0.7365291118621826,4,5,4,5,4
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,training_data,-0.46466368436813354,-0.17918802797794342,-0.7220186591148376,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,performance_metrics,-0.5355330109596252,-0.2442559152841568,-0.7971475720405579,4,4,4,5,4
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,ethical_considerations,-0.469990074634552,-0.14397336542606354,-0.7586227655410767,4,5,4,5,5
TheBloke/CodeLlama-7B-GGUF,czxvml90.json,caveats_recommendations,-0.44955962896347046,-0.16718462109565735,-0.7045315504074097,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,model_details,-0.38902413845062256,-0.182688370347023,-0.5823172926902771,5,5,5,5,4
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,intended_use,-0.4755121171474457,-0.27526095509529114,-0.6636520028114319,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,generative_capabilities,-0.40032675862312317,-0.14924387633800507,-0.6304634213447571,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,safety_considerations,-0.42707663774490356,-0.1766166239976883,-0.6566532254219055,4,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,training_data,-0.4887334406375885,-0.2138458788394928,-0.7376670241355896,3,4,4,5,4
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,performance_metrics,-0.4366293251514435,-0.20487232506275177,-0.6509589552879333,4,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,ethical_considerations,-0.408046156167984,-0.20069915056228638,-0.602175772190094,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,pxrlzu6w.json,caveats_recommendations,-0.4763900637626648,-0.24157555401325226,-0.6931589841842651,4,4,5,5,5
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,model_details,-0.4365173578262329,-0.19524753093719482,-0.6586202383041382,2,3,3,3,3
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,intended_use,-0.43233805894851685,-0.06371833384037018,-0.7530848383903503,2,2,2,2,2
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,generative_capabilities,-0.4155840575695038,-0.13370934128761292,-0.6702765226364136,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,safety_considerations,-0.4488663971424103,-0.17109708487987518,-0.7002083659172058,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,training_data,-0.574967086315155,-0.4112403094768524,-0.7320095896720886,2,2,2,2,2
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,performance_metrics,-0.41150644421577454,-0.14152579009532928,-0.6567847728729248,4,4,4,4,4
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,ethical_considerations,-0.5116345882415771,-0.2797348201274872,-0.7259633541107178,2,2,2,2,2
TheBloke/CodeLlama-7B-GGUF,mx3n0kga.json,caveats_recommendations,-0.4582202434539795,-0.09070832282304764,-0.7779636979103088,3,3,3,3,3
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,model_details,-0.33906090259552,-0.1379723697900772,-0.5279608368873596,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,intended_use,-0.502162754535675,-0.30968815088272095,-0.6837413907051086,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,generative_capabilities,-0.4145415127277374,-0.14083102345466614,-0.6627761721611023,4,5,4,4,4
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,safety_considerations,-0.44689857959747314,-0.19555458426475525,-0.6771448254585266,4,5,4,5,4
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,training_data,-0.5218137502670288,-0.26563969254493713,-0.75576251745224,2,5,2,4,2
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,performance_metrics,-0.4203340709209442,-0.14264574646949768,-0.6717041730880737,3,5,3,4,3
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,ethical_considerations,-0.38002240657806396,-0.08773577213287354,-0.6430284380912781,2,5,2,4,2
TheBloke/CodeLlama-7B-GGUF,zu41ugl3.json,caveats_recommendations,-0.4587821066379547,-0.14126931130886078,-0.7409888505935669,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,model_details,-0.34804004430770874,-0.049948301166296005,-0.6157103180885315,3,5,3,4,3
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,intended_use,-0.5605750679969788,-0.2924213111400604,-0.8039517998695374,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,generative_capabilities,-0.3924688994884491,-0.16490399837493896,-0.6034127473831177,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,safety_considerations,-0.46378570795059204,-0.3087475299835205,-0.6132102012634277,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,training_data,-0.4707871377468109,-0.2756175398826599,-0.6546503901481628,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,performance_metrics,-0.37188342213630676,-0.1343931406736374,-0.5910118818283081,5,5,5,5,5
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,ethical_considerations,-0.4878183901309967,-0.27114543318748474,-0.6896489858627319,4,5,4,4,4
TheBloke/CodeLlama-7B-GGUF,wxdrlcml.json,caveats_recommendations,-0.40556979179382324,-0.1604541838169098,-0.6308585405349731,5,5,5,5,5
facebook/mms-tts-gil,w83y0mah.json,model_details,-0.1486024260520935,-0.18955393135547638,-0.11074402183294296,5,5,5,5,5
