document_id,clean_text,sentiment
1,fan superhero movie definitely one worst ever seen really high hope deliver admit visually good decent cinematography coloring story dialog seem written child absolutely creativity film stereotype superhero story much superhuman stuff going feel connected anyone everyone seems board everything feel like dragged party know one none character relatable even interesting matter feel like watching third movie trilogy watched neither previous two also believe movie called everyone superman weirdly appear main character great fight scene important thing getting bitten poorly executed redemption arc also none joke land movie fun none character funny especially dog really try funny fails every time expect james gunn,NEGATIVE
2,honestly version superman feel way childish overly comical tone place cringey one liner awkward slapstick visuals look like belong saturday morning cartoon instead bold reimagining feel like step back campy territory one really asked david corenswet decent lookalike completely fails capture commanding presence charisma henry cavill brought role cavill gravitas balance strength vulnerability quiet intensity corenswet feel light like playing dress rather embodying earth greatest protector worse theater reflected film flat tone room dead quiet barely chuckle almost reaction sharp contrast electric energy felt deadpool v wolverine whole crowd engaged laughing reacting superman land compared man steel emotional depth stunning visuals powerful score version feel hollow might please kid hardcore nostalgia fan missing soul rating look like superman lack heart presence impact something truly heroic revisit man steel,NEGATIVE
3,superman review bright start never reach orbit denying expectation high reboot fresh start new tone james gunn driver seat genuinely excited yes moment movie shine end help feel let little frustrated liked let start good movie look incredible bright color palette crisp white deep blue bold red make visually rich experience honestly one best comic book inspired color treatment year special effect slick especially concept superman drawing strength solar power ups creative fun music solid cast delivered lex luthor angle wanting frame superman threat land military contract one grounded believable motivation seen character crack start show story move fast emotional beat land never build drop clark first major loss already happened film start clark lois already dating tension romance arc identity conflict real inner struggle one iconic element superman character get seriously frustrated superman supposed powerful meta human earth hype canon movie get as kicked lot constantly rope getting beaten almost killed barely making worst never really moment turn tide dominates win instead mr terrific solving problem rescuing people driving plot forward superman kind sure love seeing character shine cost superman entire presence even worse way many character feel like could easily take robs story awe scale everyone beat superman even make superman green lantern morph great addition barely used huge missed opportunity top clark superman tone little goofy immature real difference persona hero superman feel iconic larger life inspiring feel like another guy cape final thought movie real potential cast budget visual style lacked soul build frustrating respect superman power presence walked hopeful walked thinking make superman feel small score stylish ambitious man steel spends much time ground,POSITIVE
4,superman need rescued cousin dog end story really though story line strong one full weak character well come together well character weak zero context relationship pa dumb kansa hick total insult anyone kansa dog well plain annoying cg least rescue superman cousin drunk party girl green lantern party one poorly written character line true green lantern know flip people huge green hand kat grant cleavage hawk girl cover ear scream lex know problem superman trying get country team gamers actually know happening lois developed main character jimmy actually likable get thing done mr terrific helpful save city however likable could go superman weak vulnerable get touch touchy feely side said character development relationship development whatsoever bad actor bad script really need watch smallville superman movie gain context movie,NEGATIVE
5,movie convoluted mess funny time time sure decently entertaining yep damn storyline place honestly thought really strong start first minute seemed fairly cohesive get introduced random character ultimately distract story almost every character purely plot device used move thing movie progress get character development lois clark even relationship feel choppy often get movie confusing get,NEGATIVE
6,let get one thing way superman fan never hard root nigh invincible alien moral compass saint always batman guy brooding billionaire trauma feel grounded james gunn helm excitement yet another superman reboot would close zero huge fan work guardian galaxy trilogy suicide squad peacemaker creature commando found intrigued even question lingered back mind gunn always excelled underdog outcast oddball could really make world squeaky clean superhero compelling answer thunderous emphatic yes superman james gunn delivers emotionally resonant thematically mature version beloved hero date result film dare reimagine last son krypton god among men man happens god work beautifully thanks nuanced script david corenswet pitch perfect performance superman dare say relatable charming earnest even little na corenswet capture essential contradiction heart character alien human u best portrayal clark kent since christopher reeve get wrong cavill good look superman corenswet soul farm raised kind hearted boy want good gunn smartly skip well worn origin story throw u thick earth already grappling existence superman move keep pacing lean allows story dig deeper world around world feel real classic gunn fashion weave sharp timely commentary medium weaponization current foreign affair public trust superman challenge physical moral political philosophical yet film never feel like lecturing feel timely relevant necessary emotional core surprisingly affecting clark dynamic lois lane rachel brosnahan nailing fierce nonsense reporter crackle genuine tension warmth bicker banter love messy real add tender scene clark parent superhero movie somehow manages intimate superman tear simple word stepdad hit harder cgi explosion tonally classic gunn light fun moment feel ripped straight saturday morning cartoon laugh humor dialed back used sparingly smartly surprising darkness moment genuine menace even shocking say least supporting cast nicholas hoult lex luthor best version seen screen cold calculating utterly despicable hammy businessman twitchy tech bro evil chillingly rational want punch face repeatedly win rachel brosnahan lois lane definitive version relentless truth seeker zero time nonsense nathan fillion green lantern exactly expect james gunn regular lovable asshole truly laugh loud moment creative use ring isabela merced hawkgirl brings welcome edge edi gathegi mr terrific nearly steal show one memorable fight sequence film perfect film though triumph found wanting particularly clark lois interaction film strongest moment quietest one time sacrificed screen time spent less compelling side character pacing tight would gladly traded action beat humanizing character moment made version superman special said inclusion krypto superdog delight watching nearly powerful struggle handle naughty superdog every pet owner relate still time credit rolled knew one thing superman everything wanted film indication direction james gunn dcu heading dc good hand first time honestly say want dc time world feel divided cynical exhausted ever film reminds u superman matter flying fast lifting building stopping kaijus compassion kindness right thing glory right thing need need made believe hope,POSITIVE
7,superman moody angry insecure immature nothing like stoic ideal know made jimmy olsen unexplainable ladie man hawk girl way young comical closeup screeching like hawk nathan fillion would made better hal jordan guy gardner ultra man reimagined clone dress like black noir boy plot convoluted mess give kudos mr terrific one thing sure james gunn cannot portray superman big screen give best,NEGATIVE
8,reboot full resurrection everything love superman james gunn nail tone emotional bold full hope david corenswet owns cape charming powerful finally give u superman believe rachel brosnahan kill lois lane wit fire action epic visuals stunning story hit heart sure cgi finale get bit wild care movie fly high brings dc universe back life must watch superhero fan wait see universe go next beginning,POSITIVE
9,massive fan henry cavill james gunn wondered would win synder man steel gunn superman synder still quite long way man steel purity essence superman restrain character despite overwhelming power gunn version good little slapstick compared synder gritty hero tale new attempt superman simply blur insignificance superhero character let since endgame concluded drunk supergirl unruly superdog seal film fate henry still man,NEGATIVE
10,saw sneak peek day opened going honestly expected ok admit first couple minute found thinking oh might good movie went found really getting everything movie awesome casting excellent everyone bright color gave feel watching comic book come page onto screen movie uplifting made smile relationship clark pa kent well done anyone calling dumb redneck get one scene particular gave chill boy lifted superman flag started saying name accompanied john willams superman theme beautifully done think movie grows really enjoyed movie wait see james gunn planned next favor see one big screen,POSITIVE
11,hard keep watching made completely child safe mean good way spoiler irritating dog anything right end thought get rid red pant grrrosss anyway go watch hold breath last rd part movie,NEGATIVE
